,initial_static_margin [calibers],frontal_surface_wind [m/s],lateral_surface_wind [m/s],out_rail_vel [m/s],out_rail_stability [calibers],out_rail_angle_of_attack [deg],out_rail_thrust_to_weight [ratio],burn_out_dynamic_pressure [Pa],burn_out_time [s],burn_out_accel [m/s²],apogee_alt [m],apogee_time [s],max_speed [m/s],max_speed_time [s],max_mach [-],max_mach_time [s],max_dynamic_pressure [Pa],max_dynamic_pressure_time [s],max_acceleration_power_on [m/s²],max_acceleration_power_on_time [s],max_Gs_power_on [G],max_Gs_power_on_time [s],max_acceleration_power_off [m/s²],max_acceleration_power_off_time [s],max_Gs_power_off [G],max_Gs_power_off_time [s],max_stability_margin [calibers],impact_speed [m/s],impact_time [s],impact_x [m],impact_y [m],impact_lat [°],impact_lon [°],impact_radius [m],inclination_deg,heading_deg,case_key
min_elev_82deg__West__ERA5_2024_0616_15Z,2.9415414345490327,-1.3065776545957575,-0.09726123309035115,29.177784205353227,3.0197681649315404,2.5358806572335766,9.473681012851527,46064.65112838942,4.519,31.801333592934952,3424.7799919383324,25.85532247306232,315.64201180273164,4.2905955847346275,0.9026158190626331,4.307283541501234,47660.5940343476,4.267019173885746,87.55923870616758,1.507108187025021,8.928557530468364,1.507108187025021,16.901732427352687,9.565602929904651,1.723497058358633,9.565602929904651,4.206464041413016,8.1489550346012,167.59999896557602,-968.9813852314148,116.02182806098314,31.048334767665033,-103.53745013657756,975.9026537066102,82.0,270.0,min_elev_82deg__West
min_elev_82deg__West__ERA5_2024_0616_18Z,2.941565338213927,0.5213290699929071,-3.120940077270987,29.1779147255494,3.0197429245862732,6.2091419633532094,9.47368182524561,45797.02589243697,4.519,31.83830633270021,3462.7214111390704,26.01390183315937,315.64722166716086,4.287574596296822,0.9011954139281159,4.304714883169414,47377.90936462327,4.287574596296822,87.5324521356682,1.5112634364506246,8.925826060445534,1.5112634364506246,15.772914116245333,10.417492931477774,1.6083896250243799,10.417492931477774,4.206464041413016,8.664328350837609,168.31592555897095,-808.034977754988,-150.99228426062257,31.04593413267192,-103.53576084380244,822.0214079826294,82.0,270.0,min_elev_82deg__West
min_elev_82deg__West__ERA5_2024_0619_15Z,2.941823647181412,8.943069534368618,-4.121294267980537,29.17634460019604,3.019872015284306,19.340913012298426,9.473703656456316,46868.445768113386,4.519,32.396345451092074,3463.3411170727168,26.060804151594056,313.0791888132822,4.29523410886562,0.908753888266368,4.29523410886562,48562.749330624014,4.279308683969157,87.40531082313792,1.5085858331991326,8.912861254672894,1.5085858331991326,14.446713892740464,11.535831776942558,1.473154838068093,11.535831776942558,4.206464041413016,12.683808190367921,170.04136331190801,-835.0100535639428,-166.29078252890866,31.045796563186066,-103.53604391842444,851.4073137499674,82.0,270.0,min_elev_82deg__West
min_elev_82deg__West__ERA5_2024_0619_18Z,2.9418178999512823,8.375760509384884,-4.932677637856676,29.176231459234167,3.0198935096746657,19.088104481959796,9.473703777401457,47105.08729587032,4.519,32.54832883513205,3442.9612114004904,25.97636442245576,312.8847985061109,4.3013056326669235,0.910908523708632,4.3013056326669235,48815.720440800236,4.281889876452814,87.40092367837872,1.5055881753715297,8.91241389040893,1.5055881753715297,14.553734571791018,11.425894884580748,1.4840679102232688,11.425894884580748,4.206464041413016,12.578335722958364,169.73470398204722,-1023.5512584885073,-69.37431477333638,31.04666780215761,-103.53802264107176,1025.8995927008048,82.0,270.0,min_elev_82deg__West
nom_elev_84deg__North__ERA5_2022_0616_15Z,2.9416249455043433,3.073825008525287,4.545474720080994,29.17170067280343,3.0198257780651034,10.778243962407267,9.473755737348446,46653.54623736326,4.519,32.228397196309125,3473.5976835775436,26.077706546117053,314.1939602452437,4.291348228522115,0.905730498394337,4.307647240568112,48329.78115368435,4.26980785525041,87.39652523528414,1.508701279832157,8.91196537403539,1.508701279832157,14.79688404655864,11.279423396411488,1.50886225638303,11.279423396411488,4.206464041413016,9.667635947289101,170.25375326674168,241.81897537881687,1060.5185498810658,31.056827226864424,-103.52474296399278,1087.7389445520002,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2022_0616_18Z,2.9418010695371164,5.413344330392947,7.819234670467396,29.170311324861416,3.019955572061755,18.425834228397697,9.473774132799985,46659.59251416062,4.519,32.19957953663598,3402.1437279738957,25.79692288511456,313.6359707336556,4.302205141509912,0.9061847924191819,4.302205141509912,48319.17068753949,4.285427830944104,87.52779931613424,1.5129136907835798,8.92535160489405,1.5129136907835798,14.96168842038677,11.10016938413937,1.5256676255792518,11.10016938413937,4.206464041413016,12.457066815548846,167.8761298733545,371.08034630523264,1023.5746751837383,31.056495026327635,-103.52338630153392,1088.7633990410895,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2022_0619_15Z,2.9416226481486785,3.075812129983425,4.447053498891889,29.171685702866768,3.0198310212059543,10.624433962390933,9.473755595318323,46745.34639709986,4.519,32.257279349640626,3470.021567212895,26.057654651143675,314.0923453538624,4.291240745169596,0.9068169966961627,4.301851651565332,48426.800904578864,4.285935291971729,87.38102711021448,1.513801416505942,8.910385005094959,1.513801416505942,16.80296454903388,9.638911616862712,1.7134255376743213,9.638911616862712,4.206464041413016,9.61193875915697,170.36678173725176,208.76147455912093,1004.6405849562059,31.056324827589712,-103.5250899339724,1026.101387876094,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2022_0619_18Z,2.9417887981086785,6.5385726834876365,6.518514433128594,29.17042472971863,3.0199510083622787,17.989645363790515,9.473772550426204,47023.474915888524,4.519,32.34297614215685,3414.211511370102,25.83743901182205,313.1833594381546,4.2923888916713,0.910279869221001,4.301087308231891,48715.242501359025,4.279341266830416,87.44752874859958,1.521238623089665,8.917166284980048,1.521238623089665,17.58757764640841,9.096265026624495,1.7934338073050848,9.096265026624495,4.206464041413016,12.222574756117426,168.79121903830145,163.95374411184324,982.6431905694564,31.05612705342601,-103.52556021922419,996.2271177702465,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2023_0616_15Z,2.941584091052111,-0.13554435232464734,-4.043675513274354,29.171869750184822,3.019816489342648,7.913620662310097,9.473752431274068,46384.19347605928,4.519,32.07164289677232,3452.189038594048,25.974998537806258,314.83509403535004,4.286532645447844,0.9032862766551616,4.303488234024677,48023.27632432675,4.286532645447844,88.75865287982312,1.915749372209275,9.050863738363573,1.915749372209275,17.498305159868213,9.174803604075095,1.7843305471152957,9.174803604075095,4.206464041413016,8.963594448949324,169.1264250568458,130.68443408376208,1060.0323853216664,31.056822873283767,-103.52590938810077,1068.0576198139008,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2023_0616_18Z,2.941605767424167,-1.1120707733357387,-4.763655223563745,29.171629842472232,3.019845131596028,9.503340036661347,9.473755189983603,46221.96440463068,4.519,31.885327867400054,3428.697218272524,25.882213863860134,315.0371700039921,4.2963675850086895,0.9024296154510658,4.2963675850086895,47846.111471790544,4.2779276328079945,87.5250816517761,1.519128331128212,8.92507448025331,1.519128331128212,38.60960160531862,4.090737084663311,3.937083673356205,4.090737084663311,4.206464041413016,9.403427725914774,167.99231645543526,153.8363023312954,1097.5772590670558,31.05716044102737,-103.52566638956168,1108.3056652097907,84.0,0.0,nom_elev_84deg__North
